(100, 100)
(100, 100)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(102, 102)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 98)
(100, 98)
(100, 98)
(100, 98)
(98, 98)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 102)
(100, 100)
(98, 98)
(98, 98)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 102)
(98, 102)
(98, 102)
(100, 102)
(100, 102)
(102, 102)
(102, 102)
(102, 102)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 98)
(102, 98)
(102, 98)
(100, 98)
(100, 98)
(100, 100)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(102, 100)
(100, 98)
(100, 98)
(100, 98)
(102, 98)
(102, 98)
(102, 98)
(102, 98)
(102, 100)
(102, 100)
(102, 102)
(102, 102)
(102, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 100)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(100, 102)
(102, 102)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 98)
(100, 98)
(100, 98)
(100, 98)
(100, 98)
(100, 98)
(100, 98)
(100, 100)
(98, 98)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 102)
(100, 102)
(100, 102)
(102, 102)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 100)
(102, 102)
(100, 102)
(100, 102)
(98, 102)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 100)
(98, 98)
